Port,Status,Banner
1,CLOSED,-
2,CLOSED,-
3,CLOSED,-
4,CLOSED,-
5,CLOSED,-
6,CLOSED,-
7,CLOSED,-
8,CLOSED,-
9,CLOSED,-
10,CLOSED,-
11,CLOSED,-
12,CLOSED,-
13,CLOSED,-
14,CLOSED,-
15,CLOSED,-
16,CLOSED,-
17,CLOSED,-
18,CLOSED,-
19,CLOSED,-
20,CLOSED,-
21,CLOSED,-
22,CLOSED,-
23,CLOSED,-
24,CLOSED,-
25,CLOSED,-
26,CLOSED,-
27,CLOSED,-
28,CLOSED,-
29,CLOSED,-
30,CLOSED,-
31,CLOSED,-
32,CLOSED,-
33,CLOSED,-
34,CLOSED,-
35,CLOSED,-
36,CLOSED,-
37,CLOSED,-
38,CLOSED,-
39,CLOSED,-
40,CLOSED,-
41,CLOSED,-
42,CLOSED,-
43,CLOSED,-
44,CLOSED,-
45,CLOSED,-
46,CLOSED,-
47,CLOSED,-
48,CLOSED,-
49,CLOSED,-
50,CLOSED,-
51,CLOSED,-
52,CLOSED,-
53,CLOSED,-
54,CLOSED,-
55,CLOSED,-
56,CLOSED,-
57,CLOSED,-
58,CLOSED,-
59,CLOSED,-
60,CLOSED,-
61,CLOSED,-
62,CLOSED,-
63,CLOSED,-
64,CLOSED,-
65,CLOSED,-
66,CLOSED,-
67,CLOSED,-
68,CLOSED,-
69,CLOSED,-
70,CLOSED,-
71,CLOSED,-
72,CLOSED,-
73,CLOSED,-
74,CLOSED,-
75,CLOSED,-
76,CLOSED,-
77,CLOSED,-
78,CLOSED,-
79,CLOSED,-
80,CLOSED,-
81,CLOSED,-
82,CLOSED,-
83,CLOSED,-
84,CLOSED,-
85,CLOSED,-
86,CLOSED,-
87,CLOSED,-
88,CLOSED,-
89,CLOSED,-
90,CLOSED,-
91,CLOSED,-
92,CLOSED,-
93,CLOSED,-
94,CLOSED,-
95,CLOSED,-
96,CLOSED,-
97,CLOSED,-
98,CLOSED,-
99,CLOSED,-
100,CLOSED,-
